SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.15,0.17,D,I3,EX,440, 8/30/2024
RO,0.15,0.17,E,IF,EX,1250, 8/30/2024
RO,0.15,0.17,E,VVS1,EX,1250, 8/30/2024
RO,0.15,0.17,E,VVS2,EX,1250, 8/30/2024
RO,0.15,0.17,E,VS1,EX,1110, 8/30/2024
RO,0.15,0.17,E,VS2,EX,1110, 8/30/2024
RO,0.15,0.17,E,SI1,EX,980, 8/30/2024
RO,0.15,0.17,E,SI2,EX,850, 8/30/2024
RO,0.15,0.17,E,SI3,EX,760, 8/30/2024
RO,0.15,0.17,E,I1,EX,640, 8/30/2024
RO,0.15,0.17,E,I2,EX,520, 8/30/2024
RO,0.15,0.17,E,I3,EX,440, 8/30/2024
RO,0.15,0.17,F,IF,EX,1250, 8/30/2024
RO,0.15,0.17,F,VVS1,EX,1250, 8/30/2024
RO,0.15,0.17,F,VVS2,EX,1250, 8/30/2024
RO,0.15,0.17,F,VS1,EX,1110, 8/30/2024
RO,0.15,0.17,F,VS2,EX,1110, 8/30/2024
RO,0.15,0.17,F,SI1,EX,980, 8/30/2024
RO,0.15,0.17,F,SI2,EX,850, 8/30/2024
RO,0.15,0.17,F,SI3,EX,760, 8/30/2024
RO,0.15,0.17,F,I1,EX,640, 8/30/2024
RO,0.15,0.17,F,I2,EX,520, 8/30/2024
RO,0.15,0.17,F,I3,EX,440, 8/30/2024
RO,0.15,0.17,G,IF,EX,1050, 8/30/2024
RO,0.15,0.17,G,VVS1,EX,1050, 8/30/2024
RO,0.15,0.17,G,VVS2,EX,1050, 8/30/2024
RO,0.15,0.17,G,VS1,EX,960, 8/30/2024
RO,0.15,0.17,G,VS2,EX,960, 8/30/2024
RO,0.15,0.17,G,SI1,EX,870, 8/30/2024
RO,0.15,0.17,G,SI2,EX,770, 8/30/2024
RO,0.15,0.17,G,SI3,EX,680, 8/30/2024
RO,0.15,0.17,G,I1,EX,570, 8/30/2024
RO,0.15,0.17,G,I2,EX,470, 8/30/2024
RO,0.15,0.17,G,I3,EX,400, 8/30/2024
RO,0.15,0.17,H,IF,EX,1050, 8/30/2024
RO,0.15,0.17,H,VVS1,EX,1050, 8/30/2024
